original_path,new_path,filename,file_type,category,confidence,reason,recommended_usage,alt_text_suggestion
src/assets/images/_incoming/architectural-planning-smart-home-blueprint.jpg,src/assets/images/estates/architectural-planning-smart-home-blueprint.jpg,architectural-planning-smart-home-blueprint.jpg,image,estates,medium,Filename matched estates signals with a 2 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Architectural planning smart home blueprint suitable for Solanique Estates.
src/assets/images/_incoming/backyard-pool-pergola-fire-feature-night.jpg,src/assets/images/estates/backyard-pool-pergola-fire-feature-night.jpg,backyard-pool-pergola-fire-feature-night.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Backyard pool pergola fire feature night suitable for Solanique Estates.
src/assets/images/_incoming/bathroom-renovation-before-after-remodel.jpg,src/assets/images/_review/bathroom-renovation-before-after-remodel.jpg,bathroom-renovation-before-after-remodel.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/bedroom-turnover-towel-preparation-service.jpg,src/assets/images/concierge/bedroom-turnover-towel-preparation-service.jpg,bedroom-turnover-towel-preparation-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Bedroom turnover towel preparation service suitable for Solanique Concierge.
src/assets/images/_incoming/car-dashboard-vent-detailing-cleaning.jpg,src/assets/images/concierge/car-dashboard-vent-detailing-cleaning.jpg,car-dashboard-vent-detailing-cleaning.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Car dashboard vent detailing cleaning suitable for Solanique Concierge.
src/assets/images/_incoming/car-detailing-headlight-cleaning-service.jpg,src/assets/images/concierge/car-detailing-headlight-cleaning-service.jpg,car-detailing-headlight-cleaning-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Car detailing headlight cleaning service suitable for Solanique Concierge.
src/assets/images/_incoming/car-interior-leather-seat-detailing.jpg,src/assets/images/estates/car-interior-leather-seat-detailing.jpg,car-interior-leather-seat-detailing.jpg,image,estates,medium,Filename matched estates signals with a 0 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Car interior leather seat detailing suitable for Solanique Estates.
src/assets/images/_incoming/car-interior-steam-cleaning-detailing.jpg,src/assets/images/estates/car-interior-steam-cleaning-detailing.jpg,car-interior-steam-cleaning-detailing.jpg,image,estates,medium,Filename matched estates signals with a 0 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Car interior steam cleaning detailing suitable for Solanique Estates.
src/assets/images/_incoming/cat-dog-cuddling-owner-pet-companionship.jpg,src/assets/images/_review/cat-dog-cuddling-owner-pet-companionship.jpg,cat-dog-cuddling-owner-pet-companionship.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/cat-hammock-sunglasses-summer-style.jpg,src/assets/images/_review/cat-hammock-sunglasses-summer-style.jpg,cat-hammock-sunglasses-summer-style.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/cat-nail-trimming-pet-grooming-care.jpg,src/assets/images/_review/cat-nail-trimming-pet-grooming-care.jpg,cat-nail-trimming-pet-grooming-care.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/cat-smartphone-navigation-app-pet-travel.jpg,src/assets/images/concierge/cat-smartphone-navigation-app-pet-travel.jpg,cat-smartphone-navigation-app-pet-travel.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Cat smartphone navigation app pet travel suitable for Solanique Concierge.
src/assets/images/_incoming/cat-spa-bath-towel-pet-grooming.jpg,src/assets/images/_review/cat-spa-bath-towel-pet-grooming.jpg,cat-spa-bath-towel-pet-grooming.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/cat-spa-relaxation-towel-amenities.jpg,src/assets/images/_review/cat-spa-relaxation-towel-amenities.jpg,cat-spa-relaxation-towel-amenities.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/chauffeur-opening-car-door-luxury-transport.jpg,src/assets/images/concierge/chauffeur-opening-car-door-luxury-transport.jpg,chauffeur-opening-car-door-luxury-transport.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Chauffeur opening car door luxury transport suitable for Solanique Concierge.
src/assets/images/_incoming/commercial-property-analytics-real-estate-investment.jpg,src/assets/images/estates/commercial-property-analytics-real-estate-investment.jpg,commercial-property-analytics-real-estate-investment.jpg,image,estates,high,Filename matched estates signals with a 13 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Commercial property analytics real estate investment suitable for Solanique Estates.
src/assets/images/_incoming/commercial-real-estate-investment-meeting.jpg,src/assets/images/estates/commercial-real-estate-investment-meeting.jpg,commercial-real-estate-investment-meeting.jpg,image,estates,high,Filename matched estates signals with a 9 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Commercial real estate investment meeting suitable for Solanique Estates.
src/assets/images/_incoming/commercial-real-estate-skyscrapers-financial-district.jpg,src/assets/images/estates/commercial-real-estate-skyscrapers-financial-district.jpg,commercial-real-estate-skyscrapers-financial-district.jpg,image,estates,high,Filename matched estates signals with a 11 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Commercial real estate skyscrapers financial district suitable for Solanique Estates.
src/assets/images/_incoming/commercial-real-estate-skyscrapers-sunlight.jpg,src/assets/images/estates/commercial-real-estate-skyscrapers-sunlight.jpg,commercial-real-estate-skyscrapers-sunlight.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Commercial real estate skyscrapers sunlight suitable for Solanique Estates.
src/assets/images/_incoming/cozy-pet-friendly-living-room-winter-interior.jpg,src/assets/images/estates/cozy-pet-friendly-living-room-winter-interior.jpg,cozy-pet-friendly-living-room-winter-interior.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Cozy pet friendly living room winter interior suitable for Solanique Estates.
src/assets/images/_incoming/crossed-gold-keys-luxury-concierge-symbol.jpg,src/assets/images/concierge/crossed-gold-keys-luxury-concierge-symbol.jpg,crossed-gold-keys-luxury-concierge-symbol.jpg,image,concierge,high,Filename matched concierge signals with a 8 point margin.,"Solanique Concierge sections, lifestyle coordination visuals.",Crossed gold keys luxury symbol suitable for Solanique Concierge.
src/assets/images/_incoming/dachshund-pet-care-bandage-recovery.jpg,src/assets/images/_review/dachshund-pet-care-bandage-recovery.jpg,dachshund-pet-care-bandage-recovery.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
